latitude,longitude
4.716201999999999828e+01,-1.454635416666666625e+00
4.716201999999999828e+01,-1.453831770833333259e+00
4.716145666666666614e+01,-1.453510312499999957e+00
4.716123133333333328e+01,-1.452706666666666591e+00
4.716111866666666685e+01,-1.451903020833333224e+00
4.716089333333333400e+01,-1.451099374999999858e+00
4.716066800000000114e+01,-1.450295729166666492e+00
4.716010466666666190e+01,-1.450295729166666492e+00
4.715954133333332976e+01,-1.450456458333333254e+00
4.715897799999999762e+01,-1.450938645833333318e+00
4.715920333333333048e+01,-1.451903020833333224e+00
4.715875266666666477e+01,-1.452385208333333289e+00
4.715818933333333263e+01,-1.452385208333333289e+00
4.715796399999999977e+01,-1.451581562499999922e+00
4.715785133333333334e+01,-1.450617187500000016e+00
4.715796399999999977e+01,-1.449813541666666650e+00
4.715796399999999977e+01,-1.449009895833333283e+00
4.715796399999999977e+01,-1.448206249999999917e+00
4.715796399999999977e+01,-1.447402604166666551e+00
4.715785133333333334e+01,-1.446598958333333185e+00
4.715751333333333406e+01,-1.445956041666666581e+00
4.715706266666666835e+01,-1.445313124999999976e+00
4.715661199999999553e+01,-1.444670208333333150e+00
4.715627399999999625e+01,-1.444027291666666546e+00
4.715604866666666339e+01,-1.443223645833333180e+00
4.715593599999999697e+01,-1.442259270833333273e+00
4.715638666666666268e+01,-1.441616354166666669e+00
4.715672466666666196e+01,-1.440973437499999843e+00
4.715740066666666763e+01,-1.440973437499999843e+00
4.715728800000000120e+01,-1.440169791666666477e+00
4.715694999999999482e+01,-1.439526874999999873e+00
4.715649933333332910e+01,-1.439044687500000030e+00
4.715638666666666268e+01,-1.438241041666666664e+00
4.715661199999999553e+01,-1.437437395833333298e+00
4.715661199999999553e+01,-1.436633749999999932e+00
4.715661199999999553e+01,-1.435830104166666565e+00
4.715661199999999553e+01,-1.435026458333333199e+00
4.715638666666666268e+01,-1.434222812499999833e+00
4.715649933333332910e+01,-1.433258437499999927e+00
4.715661199999999553e+01,-1.432454791666666560e+00
4.715649933333332910e+01,-1.431651145833333194e+00
4.715627399999999625e+01,-1.430847499999999828e+00
4.715593599999999697e+01,-1.430204583333333224e+00
4.715627399999999625e+01,-1.429400937499999857e+00
4.715616133333332982e+01,-1.428597291666666491e+00
4.715604866666666339e+01,-1.427793645833333347e+00
4.715593599999999697e+01,-1.426989999999999981e+00
4.715571066666666411e+01,-1.426186354166666614e+00
4.715537266666666483e+01,-1.425543437500000010e+00
4.715492199999999912e+01,-1.425061249999999946e+00
4.715458399999999983e+01,-1.424418333333333342e+00
4.715424600000000055e+01,-1.423775416666666516e+00
4.715379533333333484e+01,-1.423293229166666674e+00
4.715334466666666202e+01,-1.422811041666666609e+00
4.715278133333332988e+01,-1.422811041666666609e+00
4.715221799999999774e+01,-1.422650312499999847e+00
4.715165466666666561e+01,-1.422328854166666545e+00
4.715109133333333347e+01,-1.422007395833333243e+00
4.715064066666666776e+01,-1.421525208333333179e+00
4.715007733333332851e+01,-1.421364479166666639e+00
4.714951399999999637e+01,-1.421685937499999941e+00
4.714895066666666423e+01,-1.422007395833333243e+00
4.714872533333333138e+01,-1.422811041666666609e+00
4.714816199999999924e+01,-1.423293229166666674e+00
4.714759866666666710e+01,-1.423775416666666516e+00
4.714703533333333496e+01,-1.423614687499999976e+00
4.714669733333332857e+01,-1.422971770833333149e+00
4.714635933333332929e+01,-1.422328854166666545e+00
4.714590866666666358e+01,-1.421846666666666703e+00
4.714557066666666429e+01,-1.421203749999999877e+00
4.714511999999999858e+01,-1.420721562499999813e+00
4.714466933333333287e+01,-1.420239374999999971e+00
4.714433133333333359e+01,-1.419596458333333366e+00
4.714388066666666788e+01,-1.419114270833333302e+00
4.714365533333333502e+01,-1.418310624999999936e+00
4.714410600000000073e+01,-1.417828437499999872e+00
4.714466933333333287e+01,-1.417346250000000030e+00
4.714523266666666501e+01,-1.416864062499999966e+00
4.714557066666666429e+01,-1.416221145833333361e+00
4.714523266666666501e+01,-1.415578229166666535e+00
4.714500733333333216e+01,-1.414774583333333169e+00
4.714489466666666573e+01,-1.413810208333333263e+00
4.714557066666666429e+01,-1.413810208333333263e+00
4.714602133333333001e+01,-1.413328020833333198e+00
4.714658466666666214e+01,-1.412845833333333356e+00
4.714714800000000139e+01,-1.412363645833333292e+00
4.714771133333333353e+01,-1.412042187499999990e+00
4.714827466666666567e+01,-1.411720729166666688e+00
4.714895066666666423e+01,-1.411881458333333228e+00
4.714962666666666280e+01,-1.411881458333333228e+00
4.715030266666666847e+01,-1.412042187499999990e+00
4.715097866666666704e+01,-1.412042187499999990e+00
4.715154199999999918e+01,-1.412524374999999832e+00
4.715199266666666489e+01,-1.413167291666666658e+00
4.715233066666666417e+01,-1.413970937500000025e+00
4.715289399999999631e+01,-1.414453124999999867e+00
4.715345733333332845e+01,-1.414131666666666565e+00
4.715390800000000127e+01,-1.413488749999999960e+00
4.715447133333333340e+01,-1.413167291666666658e+00
4.715492199999999912e+01,-1.412524374999999832e+00
4.715548533333333125e+01,-1.412202916666666530e+00
4.715604866666666339e+01,-1.412042187499999990e+00
4.715593599999999697e+01,-1.411238541666666624e+00
4.715571066666666411e+01,-1.410434895833333258e+00
4.715514733333333197e+01,-1.410274166666666495e+00
4.715458399999999983e+01,-1.410434895833333258e+00
4.715402066666666769e+01,-1.410274166666666495e+00
4.715345733333332845e+01,-1.410113437499999955e+00
4.715300666666666274e+01,-1.409631249999999891e+00
4.715255599999999703e+01,-1.409149062500000049e+00
4.715210533333333132e+01,-1.408666874999999985e+00
4.715176733333333203e+01,-1.408023958333333159e+00
4.715131666666666632e+01,-1.407541770833333317e+00
4.715086600000000061e+01,-1.407059583333333252e+00
4.715064066666666776e+01,-1.406255937499999886e+00
4.715052800000000133e+01,-1.405452291666666520e+00
4.715030266666666847e+01,-1.404648645833333376e+00
4.715030266666666847e+01,-1.403845000000000010e+00
4.715052800000000133e+01,-1.403041354166666643e+00
4.715064066666666776e+01,-1.402237708333333277e+00
4.715097866666666704e+01,-1.401434062499999911e+00
4.715131666666666632e+01,-1.400791145833333307e+00
4.715187999999999846e+01,-1.400469687500000004e+00
